time_s,time_h,T_amb_C,RH_amb_pct,G_solar_Wm2,Q_solar_kW,T_solar_out_C,eta_solar,T_evap_C,T_cond_C,P_evap_bar,P_cond_bar,W_comp_kW,Q_evap_kW,Q_cond_kW,COP,m_ref_kg_per_s,T_to_chamber_C,RH_to_chamber_frac,omega_to_chamber,T_exhaust_C,RH_exhaust_frac,X_db_avg,MR_global,dm_w_total_kg,m_w_cum_kg,W_comp_cum_kWh,Q_cond_cum_kWh,Q_solar_cum_kWh,X_tray_0,MR_tray_0,T_tray_0_out_C,RH_tray_0_out_frac,dm_w_tray_0_kg,X_tray_1,MR_tray_1,T_tray_1_out_C,RH_tray_1_out_frac,dm_w_tray_1_kg,X_tray_2,MR_tray_2,T_tray_2_out_C,RH_tray_2_out_frac,dm_w_tray_2_kg,X_tray_3,MR_tray_3,T_tray_3_out_C,RH_tray_3_out_frac,dm_w_tray_3_kg,X_tray_4,MR_tray_4,T_tray_4_out_C,RH_tray_4_out_frac,dm_w_tray_4_kg,X_tray_5,MR_tray_5,T_tray_5_out_C,RH_tray_5_out_frac,dm_w_tray_5_kg,X_tray_6,MR_tray_6,T_tray_6_out_C,RH_tray_6_out_frac,dm_w_tray_6_kg,X_tray_7,MR_tray_7,T_tray_7_out_C,RH_tray_7_out_frac,dm_w_tray_7_kg,X_tray_8,MR_tray_8,T_tray_8_out_C,RH_tray_8_out_frac,dm_w_tray_8_kg,X_tray_9,MR_tray_9,T_tray_9_out_C,RH_tray_9_out_frac,dm_w_tray_9_kg,SEC_elec_kWh_per_kg
0.0,0.0,8.78,91.84,0.0,0.0,8.78,0.0,-1.2200000000000006,60.0,2.8007890049036335,16.81784218296168,1.4439453982492525,3.4722253117850017,4.916170710034255,3.4046790938182205,0.028235862360690565,50.0,0.08392140570453739,0.006433396302922373,18.777880367909763,0.9499999999998384,6.495419644064606,0.9992953298560933,0.04580355935393737,0.04580355935393737,0.024065756637487543,0.08193617850057092,0.0,6.454196440646134,0.9929532985609437,18.77788036795804,0.9499999999962438,0.045803559353865715,6.499999999999928,0.9999999999999889,18.777880367909763,0.9499999999998384,7.165924511776172e-14,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,6.5,1.0,18.777880367909763,0.9499999999998384,0.0,
60.0,0.016666666666666666,8.782499999999999,91.82316666666667,0.0,0.0,8.782499999999999,0.0,-1.2175000000000011,60.0,2.801045315859239,16.81784218296168,1.4437922046768594,3.472080338768966,4.9158725434458255,3.404833831019378,0.028234334683573916,50.0,0.08392019448974679,0.006433302491078816,18.777788190733744,0.9499999999998429,6.490839275232635,0.9985906577280977,0.04580368831971074,0.09160724767364811,0.04812896004876853,0.16386738755800134,0.0,6.408392752326469,0.9859065772809952,18.77778819076392,0.9499999999975963,0.045803688319665956,6.499999999999884,0.9999999999999821,18.777788190733744,0.9499999999998429,4.4786759253927624e-14,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,6.5,1.0,18.777788190733744,0.9499999999998429,0.0,
120.0,0.03333333333333333,8.785,91.80633333333334,0.0,0.0,8.785,0.0,-1.2149999999999999,60.0,2.801301644880262,16.81784218296168,1.4436390194451578,3.471935357412238,4.915574376857395,3.4049885813883214,0.028232806979141586,50.0,0.08391898019075314,0.006433208440383553,18.7776957784726,0.9499999999998222,6.486258893471197,0.9978859836109534,0.04580381761438962,0.13741106528803773,0.07218961037285448,0.24579362717229125,0.0,6.362588934712585,0.9788598361096285,18.777695778813563,0.9499999999744368,0.04580381761388353,6.499999999999377,0.9999999999999042,18.7776957784726,0.9499999999998222,5.060873330194465e-13,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,6.5,1.0,18.7776957784726,0.9499999999998222,0.0,
180.0,0.05,8.7875,91.7895,0.0,0.0,8.7875,0.0,-1.2125000000000004,60.0,2.8015579919675573,16.81784218296168,1.4434858425540977,3.4717903677148674,4.915276210268965,3.4051433449266786,0.028231279247394755,50.0,0.08391776280666484,0.006433114150767742,18.777603131055336,0.9499999999998006,6.481678498747388,0.9971813074995981,0.0458039472380733,0.18321501252611103,0.09624770774875611,0.32771489734344067,0.0,6.316784987474991,0.9718130749961524,18.777603131378193,0.9499999999757631,0.04580394723759409,6.499999999998898,0.9999999999998305,18.777603131055336,0.9499999999998006,4.792125468746418e-13,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,6.5,1.0,18.777603131055336,0.9499999999998006,0.0,
240.0,0.06666666666666667,8.79,91.77266666666667,0.0,0.0,8.79,0.0,-1.2100000000000009,60.0,2.8018143571219745,16.81784218296168,1.4433326740036452,3.47164536967689,4.914978043680535,3.4052981216360396,0.028229751488334367,50.0,0.08391654233659018,0.006433019622162533,18.777510248411144,0.9499999999997871,6.477098091028303,0.9964766293889696,0.045804077190860826,0.22901908971697185,0.12030325231548353,0.4096311980714496,0.0,6.270980910284153,0.9647662938898697,18.77751024842623,0.9499999999986639,0.045804077190838434,6.499999999998876,0.999999999999827,18.777510248411144,0.9499999999997871,2.2392974157735793e-14,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,6.5,1.0,18.777510248411144,0.9499999999997871,0.0,
300.0,0.08333333333333333,8.792499999999999,91.75583333333334,0.0,0.0,8.792499999999999,0.0,-1.2075000000000014,60.0,2.8020707403443637,16.81784218296168,1.4431795137937626,3.4715003632983423,4.914679877092105,3.4054529115180032,0.028228223701961586,50.0,0.0839153187796373,0.006432924854499064,18.7774171304665,0.9499999999999922,6.472517670281017,0.9957719492740027,0.04580420747285534,0.2748232971898272,0.14435624421204624,0.49154252935631804,0.0,6.22517670281153,0.9577194927402354,18.77741713062339,0.9499999999883108,0.045804207472622455,6.499999999998643,0.9999999999997912,18.7774171304665,0.9499999999999922,2.328855185432318e-13,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,6.5,1.0,18.7774171304665,0.9499999999999922,0.0,
360.0,0.1,8.795,91.739,0.0,0.0,8.795,0.0,-1.205,60.0,2.8023271416355744,16.81784218296168,1.4430263619243737,3.4713553485793014,4.914381710503675,3.40560771457426,0.028226695888277635,50.0,0.08391409213491409,0.006432829847708453,18.777323777156354,0.9499999999999924,6.467937236472602,0.9950672671496311,0.04580433808414724,0.3206276352739744,0.16840668357745248,0.573448891198046,0.0,6.1793723647275085,0.9506726714965398,18.77732377724083,0.9499999999937028,0.04580433808402184,6.499999999998518,0.999999999999772,18.777323777156354,0.9499999999999924,1.253991319573862e-13,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,6.5,1.0,18.777323777156354,0.9499999999999924,0.0,
420.0,0.11666666666666667,8.7975,91.72216666666667,0.0,0.0,8.7975,0.0,-1.2025000000000006,60.0,2.8025835609964562,16.81784218296168,1.4428732183954798,3.4712103255197655,4.914083543915245,3.405762530806317,0.02822516804728331,50.0,0.08391286240152833,0.006432734601721816,18.77723018840854,0.949999999999894,6.463356789570119,0.9943625830107875,0.04580446902483765,0.36643210429881207,0.19245457055071047,0.6553502835966334,0.0,6.1335678957029485,0.9436258301081459,18.777230188595613,0.9499999999859661,0.045804469024559986,6.49999999999824,0.9999999999997292,18.77723018840854,0.949999999999894,2.776678135946258e-13,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,6.5,1.0,18.77723018840854,0.949999999999894,0.0,
480.0,0.13333333333333333,8.799999999999999,91.70533333333334,0.0,0.0,8.799999999999999,0.0,-1.200000000000001,60.0,2.8028399984278596,16.81784218296168,1.442720083207008,3.471065294119807,4.913785377326815,3.4059173602158577,0.028223640178979933,50.0,0.08391162957858754,0.006432639116470246,18.777136364150596,0.949999999999823,6.458776329540616,0.9936578968524026,0.045804600295028086,0.41223670459384015,0.21649990527082727,0.7372467065520802,0.0,6.087763295408153,0.9365789685243312,18.777136364307495,0.9499999999881413,0.0458046002947952,6.499999999998007,0.9999999999996934,18.777136364150596,0.949999999999823,2.3288125891966094e-13,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,6.5,1.0,18.777136364150596,0.949999999999823,0.0,
540.0,0.15,8.8025,91.6885,0.0,0.0,8.8025,0.0,-1.1974999999999998,60.0,2.8030964539306327,16.81784218296168,1.4425669563589396,3.4709202543794455,4.913487210738385,3.4060722028044363,0.02822211228336844,50.0,0.08391039366519927,0.006432543391884835,18.777042304311713,0.9499999999997811,6.454195856351134,0.9929532086694053,0.04580473189481756,0.4580414364886577,0.2405426878768096,0.8191381600643867,0.0,6.041958563513385,0.9295320866943668,18.777042304344903,0.9499999999973099,0.045804731894768295,6.499999999997958,0.9999999999996858,18.777042304311713,0.9499999999997811,4.926304135704357e-14,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,6.5,1.0,18.777042304311713,0.9499999999997811,0.0,
