time_s,time_h,T_amb_C,RH_amb_pct,G_solar_Wm2,Q_solar_kW,T_solar_out_C,eta_solar,T_evap_C,T_cond_C,P_evap_bar,P_cond_bar,W_comp_kW,Q_evap_kW,Q_cond_kW,COP,m_ref_kg_per_s,T_to_chamber_C,RH_to_chamber_frac,omega_to_chamber,T_exhaust_C,RH_exhaust_frac,X_db_avg,MR_global,dm_w_total_kg,m_w_cum_kg,W_comp_cum_kWh,Q_cond_cum_kWh,Q_solar_cum_kWh,X_tray_0,MR_tray_0,T_tray_0_out_C,RH_tray_0_out_frac,dm_w_tray_0_kg,X_tray_1,MR_tray_1,T_tray_1_out_C,RH_tray_1_out_frac,dm_w_tray_1_kg,X_tray_2,MR_tray_2,T_tray_2_out_C,RH_tray_2_out_frac,dm_w_tray_2_kg,X_tray_3,MR_tray_3,T_tray_3_out_C,RH_tray_3_out_frac,dm_w_tray_3_kg,X_tray_4,MR_tray_4,T_tray_4_out_C,RH_tray_4_out_frac,dm_w_tray_4_kg,X_tray_5,MR_tray_5,T_tray_5_out_C,RH_tray_5_out_frac,dm_w_tray_5_kg,X_tray_6,MR_tray_6,T_tray_6_out_C,RH_tray_6_out_frac,dm_w_tray_6_kg,X_tray_7,MR_tray_7,T_tray_7_out_C,RH_tray_7_out_frac,dm_w_tray_7_kg,X_tray_8,MR_tray_8,T_tray_8_out_C,RH_tray_8_out_frac,dm_w_tray_8_kg,X_tray_9,MR_tray_9,T_tray_9_out_C,RH_tray_9_out_frac,dm_w_tray_9_kg,SEC_elec_kWh_per_kg
0.0,0.0,10.36,80.81,0.0,0.0,10.36,0.0,0.35999999999999943,60.0,2.9664153870726104,16.81784218296168,1.3487883317953662,3.378941094351113,4.727729426146479,3.5051677974211266,0.02726496888720678,50.0,0.08210486662252327,0.006292731937171868,18.639222416264456,0.949999999999823,6.49540024475165,0.9992923453464078,0.04599755248350142,0.04599755248350142,0.02247980552992277,0.07879549043577465,0.0,6.454002447516987,0.9929234534641519,18.639222416593437,0.949999999975264,0.04599755248301319,6.4999999999995115,0.9999999999999248,18.639222416264456,0.949999999999823,4.882256406812166e-13,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,6.5,1.0,18.639222416264456,0.949999999999823,0.0,
60.0,0.016666666666666666,10.37,80.78033333333333,0.0,0.0,10.37,0.0,0.3699999999999992,60.0,2.967487092322958,16.81784218296168,1.3481966574855342,3.378340102307225,4.72653675979276,3.505821449378185,0.027258789822241447,50.0,0.08212949308575074,0.006294638475256433,18.64110773236641,0.9499999999999167,6.490800753267915,0.9985847312719869,0.04599491483734367,0.0919924673208451,0.04494974982134834,0.1575711030989873,0.0,6.408007532679976,0.9858473127199964,18.641107732590747,0.949999999983171,0.04599491483701075,6.499999999999178,0.9999999999998737,18.64110773236641,0.9499999999999167,3.329220341469432e-13,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,6.5,1.0,18.64110773236641,0.9499999999999167,0.0,
120.0,0.03333333333333333,10.379999999999999,80.75066666666667,0.0,0.0,10.379999999999999,0.0,0.379999999999999,60.0,2.9685590953050007,16.81784218296168,1.3476051161705789,3.3777389772684603,4.725344093439039,3.5064753292617428,0.027252610331103027,50.0,0.08215411152992623,0.00629654440408533,18.642992281307134,0.9499999999999746,6.486201525441619,0.9978771577602491,0.04599227826296635,0.13798474558381144,0.06740983509085799,0.23632683798963797,0.0,6.362015254417347,0.9787715776026688,18.64299228153448,0.9499999999830047,0.045992278262628944,6.499999999998841,0.9999999999998217,18.642992281307134,0.9499999999999746,3.3740244352621433e-13,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,6.5,1.0,18.642992281307134,0.9499999999999746,0.0,
180.0,0.05,10.389999999999999,80.721,0.0,0.0,10.389999999999999,0.0,0.3899999999999988,60.0,2.9696313960737784,16.81784218296168,1.3470137078474538,3.377137719237865,4.724151427085319,3.507129437186335,0.027246430413859428,50.0,0.08217872193577833,0.0062984497221553835,18.644876061787453,0.9499999999998311,6.4816025611654,0.997169624794677,0.04598964276218752,0.18397438834599894,0.08986006355498222,0.3150626951077266,0.0,6.316025611655661,0.9716962479470248,18.644876062125533,0.9499999999745962,0.045989642761685795,6.499999999998339,0.9999999999997444,18.644876061787453,0.9499999999998311,5.017257693947023e-13,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,6.5,1.0,18.644876061787453,0.9499999999998311,0.0,
240.0,0.06666666666666667,10.4,80.69133333333333,0.0,0.0,10.4,0.0,0.40000000000000036,60.0,2.9707039946843348,16.81784218296168,1.3464224325131386,3.3765363282184597,4.722958760731599,3.5077837732665014,0.02724025007057826,50.0,0.08220332428401853,0.006300354427962062,18.64675907249968,0.9499999999998858,6.477003860331716,0.9964621323587255,0.04598700833683792,0.22996139668283685,0.1123004374302012,0.39377867445325326,0.0,6.270038603319143,0.9646213235875604,18.64675907271512,0.949999999983806,0.0459870083365182,6.499999999998019,0.9999999999996952,18.64675907249968,0.9499999999998858,3.197229202518841e-13,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,6.5,1.0,18.64675907249968,0.9499999999998858,0.0,
300.0,0.08333333333333333,10.41,80.66166666666666,0.0,0.0,10.41,0.0,0.41000000000000014,60.0,2.9717768911917233,16.81784218296168,1.3458312901645932,3.375934804213286,4.721766094377879,3.5084383376169046,0.02723406930132727,50.0,0.08222791855534113,0.006302258519999465,18.64864131214297,0.9499999999999593,6.472405422832843,0.9957546804358219,0.04598437498873804,0.2759457716715749,0.13473095893294443,0.4724747760262179,0.0,6.224054228330716,0.9575468043585716,18.648641312352453,0.9499999999843243,0.045984374988427154,6.4999999999977085,0.9999999999996475,18.64864131214297,0.9499999999999593,3.1087987083429396e-13,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,6.5,1.0,18.64864131214297,0.9499999999999593,0.0,
360.0,0.1,10.42,80.632,0.0,0.0,10.42,0.0,0.41999999999999993,60.0,2.9728500856509847,16.81784218296168,1.3452402807987929,3.3753331472253656,4.720573428024158,3.509093130352237,0.02722788810617404,50.0,0.08225250473042324,0.0063041619967603366,18.650522779413844,0.9499999999999964,6.467807248560871,0.9950472690093648,0.045981742719712115,0.32192751439128703,0.15715163027959098,0.5511509998266205,0.0,6.178072485611484,0.9504726900940744,18.650522779737077,0.9499999999758726,0.045981742719232416,6.499999999997229,0.9999999999995737,18.650522779413844,0.9499999999999964,4.79702060794427e-13,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,6.5,1.0,18.650522779413844,0.9499999999999964,0.0,
420.0,0.11666666666666667,10.43,80.60233333333333,0.0,0.0,10.43,0.0,0.4299999999999997,60.0,2.9739235781171813,16.81784218296168,1.3446494044126853,3.3747313572577533,4.719380761670439,3.509748151587339,0.02722170648518633,50.0,0.08227708278992471,0.006306064856736044,18.652403473009333,0.9499999999998358,6.463209337407713,0.9943398980627252,0.0459791115315837,0.3679066259228707,0.17956245368646906,0.6298073458544612,0.0,6.132093374080211,0.9433989806277248,18.65240347321886,0.9499999999841984,0.04597911153127274,6.499999999996918,0.9999999999995258,18.652403473009333,0.9499999999998358,3.109561224218311e-13,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,6.5,1.0,18.652403473009333,0.9499999999998358,0.0,
480.0,0.13333333333333333,10.44,80.57266666666666,0.0,0.0,10.44,0.0,0.4399999999999995,60.0,2.9749973686453735,16.81784218296168,1.344058661003239,3.3741294343134793,4.718188095316719,3.510403401437066,0.027215524438431754,50.0,0.08230165271448822,0.006307967098416598,18.654283391618144,0.9499999999998654,6.458611689265095,0.9936325675792455,0.04597648142618851,0.4138831073490592,0.20196343136985637,0.7084438141097398,0.0,6.08611689265436,0.9363256757929784,18.654283391845652,0.9499999999828871,0.045976481425850854,6.4999999999965805,0.999999999999474,18.654283391618144,0.9499999999998654,3.376508795228123e-13,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,6.5,1.0,18.654283391618144,0.9499999999998654,0.0,
540.0,0.15,10.45,80.543,0.0,0.0,10.45,0.0,0.4499999999999993,60.0,2.976071457290624,16.81784218296168,1.3434680505674175,3.373527378395581,4.716995428962998,3.511058880016359,0.02720934196597795,50.0,0.08232621448473927,0.0063098687202906446,18.65616253393647,0.9499999999998469,6.454014304024559,0.9929252775422399,0.04597385240535107,0.45985695975441027,0.22435456554598,0.7870604045924564,0.0,6.0401430402490535,0.9292527754229313,18.656162533966416,0.9499999999976125,0.04597385240530664,6.499999999996536,0.9999999999994671,18.65616253393647,0.9499999999998469,4.44331897602456e-14,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,6.5,1.0,18.65616253393647,0.9499999999998469,0.0,
