T_C,RH,v_ms,d_mm,K_logged,K_recomputed,rel_err
25.2353778,0.6740210473,1.1,6,2.857531306e-05,2.857531306e-05,0
23.95571303,0.7516768957,1.1,6,2.398722164e-05,2.398722164e-05,0
22.89351698,0.8226644096,1.1,6,2.050280603e-05,2.050280603e-05,0
22.00335364,0.8871558325,1.1,6,1.781589075e-05,1.781589075e-05,0
45,0.1081536603,1.1,6,0.0001352602421,0.0001352602421,0
39.00310605,0.1977613798,1.1,6,9.816841427e-05,9.816841427e-05,0
34.60391957,0.2972170339,1.1,6,7.285684764e-05,7.285684764e-05,0
31.32049965,0.3981889473,1.1,6,5.552351328e-05,5.552351328e-05,0
28.81280725,0.4955892913,1.1,6,4.34851747e-05,4.34851747e-05,0
26.84992316,0.5869964799,1.1,6,3.494320876e-05,3.494320876e-05,0
25.27756834,0.671584164,1.1,6,2.873431167e-05,2.873431167e-05,0
23.99260668,0.7493070807,1.1,6,2.411420561e-05,2.411420561e-05,0
22.92579862,0.8203985049,1.1,6,2.060482532e-05,2.060482532e-05,0
22.03149308,0.8850272167,1.1,6,1.78980405e-05,1.78980405e-05,0
45,0.1081520794,1.1,6,0.0001352606163,0.0001352606163,0
39.05153195,0.1968462997,1.1,6,9.84582887e-05,9.84582887e-05,0
34.66518829,0.2955689863,1.1,6,7.319549525e-05,7.319549525e-05,0
31.38074913,0.3960753281,1.1,6,5.582751527e-05,5.582751527e-05,0
28.86751715,0.4932349376,1.1,6,4.373577011e-05,4.373577011e-05,0
26.89822517,0.5845547764,1.1,6,3.514391912e-05,3.514391912e-05,0
25.31985567,0.6691503061,1.1,6,2.889411666e-05,2.889411666e-05,0
24.02959637,0.7469384909,1.1,6,2.424187448e-05,2.424187448e-05,0
22.95817312,0.8181323303,1.1,6,2.070741697e-05,2.070741697e-05,0
22.05972771,0.882896582,1.1,6,1.798068282e-05,1.798068282e-05,0
45,0.1081504944,1.1,6,0.0001352609914,0.0001352609914,0
39.0995687,0.1959421111,1.1,6,9.874602723e-05,9.874602723e-05,0
34.72623945,0.293934932,1.1,6,7.353340746e-05,7.353340746e-05,0
31.4409517,0.3939737286,1.1,6,5.613188504e-05,5.613188504e-05,0
28.92227364,0.4908891757,1.1,6,4.398718329e-05,4.398718329e-05,0
26.94661302,0.5821185264,1.1,6,3.534551983e-05,3.534551983e-05,0
25.36224008,0.6667194831,1.1,6,2.905473131e-05,2.905473131e-05,0
24.0666825,0.7445711322,1.1,6,2.437023202e-05,2.437023202e-05,0
22.99064078,0.8158658967,1.1,6,2.081058424e-05,2.081058424e-05,0
22.08805742,0.8807639722,1.1,6,1.806381953e-05,1.806381953e-05,0
45,0.1081489055,1.1,6,0.0001352613675,0.0001352613675,0
39.14721938,0.1950486565,1.1,6,9.903164299e-05,9.903164299e-05,0
34.78707223,0.292314765,1.1,6,7.38705721e-05,7.38705721e-05,0
31.50110594,0.3918841206,1.1,6,5.643661104e-05,5.643661104e-05,0
28.97707596,0.4885520143,1.1,6,4.423941003e-05,4.423941003e-05,0
26.99508659,0.5796877448,1.1,6,3.554801185e-05,3.554801185e-05,0
25.40472182,0.6642917055,1.1,6,2.921615887e-05,2.921615887e-05,0
24.10386544,0.7422050109,1.1,6,2.449928196e-05,2.449928196e-05,0
23.02320192,0.8135992152,1.1,6,2.09143304e-05,2.09143304e-05,0
22.11648211,0.8786294296,1.1,6,1.814745256e-05,1.814745256e-05,0
45,0.1081473126,1.1,6,0.0001352617445,0.0001352617445,0
39.19448708,0.1941657811,1.1,6,9.93151491e-05,9.93151491e-05,0
34.84768579,0.2907083803,1.1,6,7.420697711e-05,7.420697711e-05,0
31.56121041,0.3898064761,1.1,6,5.674168161e-05,5.674168161e-05,0
29.03192332,0.4862234626,1.1,6,4.4492446e-05,4.4492446e-05,0
27.04364576,0.5772624477,1.1,6,3.575139606e-05,3.575139606e-05,0
25.44730114,0.6618669847,1.1,6,2.937840255e-05,2.937840255e-05,0
24.14114558,0.7398401341,1.1,6,2.462902805e-05,2.462902805e-05,0
23.05585686,0.8113322972,1.1,6,2.101865873e-05,2.101865873e-05,0
22.14500171,0.8764929947,1.1,6,1.823158387e-05,1.823158387e-05,0
45,0.1081457157,1.1,6,0.0001352621225,0.0001352621225,0
39.24137483,0.1932933328,1.1,6,9.959655866e-05,9.959655866e-05,0
34.90807933,0.2891156731,1.1,6,7.454261059e-05,7.454261059e-05,0
31.62126367,0.3877407674,1.1,6,5.7047085e-05,5.7047085e-05,0
29.08681493,0.4839035302,1.1,6,4.474628666e-05,4.474628666e-05,0
27.09229036,0.5748426518,1.1,6,3.595567318e-05,3.595567318e-05,0
25.48997825,0.6594453329,1.1,6,2.954146548e-05,2.954146548e-05,0
24.1785233,0.7374765096,1.1,6,2.4759474e-05,2.4759474e-05,0
23.08860591,0.809065154,1.1,6,2.112357253e-05,2.112357253e-05,0
22.17361618,0.8743547068,1.1,6,1.831621547e-05,1.831621547e-05,0
45,0.1081441149,1.1,6,0.0001352625014,0.0001352625014,0
39.28788567,0.1924311623,1.1,6,9.987588474e-05,9.987588474e-05,0
34.96825204,0.2875365398,1.1,6,7.487746073e-05,7.487746073e-05,0
31.68126425,0.3856869665,1.1,6,5.735280933e-05,5.735280933e-05,0
29.14174994,0.4815922272,1.1,6,4.500092735e-05,4.500092735e-05,0
27.14102023,0.5724283747,1.1,6,3.616084386e-05,3.616084386e-05,0
25.53275339,0.6570267633,1.1,6,2.970535074e-05,2.970535074e-05,0
24.21599895,0.735114146,1.1,6,2.489062349e-05,2.489062349e-05,0
23.12144938,0.8067977973,1.1,6,2.12290751e-05,2.12290751e-05,0
22.20232548,0.8722146033,1.1,6,1.840134946e-05,1.840134946e-05,0
45,0.10814251,1.1,6,0.0001352628813,0.0001352628813,0
39.33402259,0.1915791226,1.1,6,0.0001001531404,0.0001001531404,0
35.02820315,0.2859708769,1.1,6,7.521151588e-05,7.521151588e-05,0
31.74121067,0.3836450457,1.1,6,5.765884263e-05,5.765884263e-05,0
29.19672751,0.4792895641,1.1,6,4.525636324e-05,4.525636324e-05,0
27.18983517,0.5700196347,1.1,6,3.636690861e-05,3.636690861e-05,0
25.57562675,0.6546112898,1.1,6,2.987006136e-05,2.987006136e-05,0
24.25357289,0.7327530523,1.1,6,2.502248021e-05,2.502248021e-05,0
23.15438759,0.8045302388,1.1,6,2.133516975e-05,2.133516975e-05,0
22.2311296,0.8700727207,1.1,6,1.848698797e-05,1.848698797e-05,0
45,0.1081409012,1.1,6,0.0001352632621,0.0001352632621,0
39.37978859,0.1907370694,1.1,6,0.0001004283387,0.0001004283387,0
35.08793188,0.2844185818,1.1,6,7.554476452e-05,7.554476452e-05,0
31.80110146,0.3816149772,1.1,6,5.796517284e-05,5.796517284e-05,0
29.25174676,0.4769955517,1.1,6,4.551258934e-05,4.551258934e-05,0
27.23873496,0.5676164508,1.1,6,3.657386785e-05,3.657386785e-05,0
25.61859851,0.6521989272,1.1,6,3.003560032e-05,3.003560032e-05,0
24.29124547,0.7303932384,1.1,6,2.515504782e-05,2.515504782e-05,0
23.18742084,0.8022624905,1.1,6,2.144185982e-05,2.144185982e-05,0
22.26002853,0.8679290942,1.1,6,1.857313319e-05,1.857313319e-05,0
45,0.1081392883,1.1,6,0.0001352636438,0.0001352636438,0
39.4251866,0.189904861,1.1,6,0.0001007014926,0.0001007014926,0
35.14743747,0.2828795525,1.1,6,7.587719525e-05,7.587719525e-05,0
31.86093511,0.3795967331,1.1,6,5.827178781e-05,5.827178781e-05,0
29.30680679,0.4747102015,1.1,6,4.576960049e-05,4.576960049e-05,0
27.28771937,0.5652188429,1.1,6,3.678172187e-05,3.678172187e-05,0
25.66166885,0.6497896911,1.1,6,3.020197051e-05,3.020197051e-05,0
24.32901704,0.7280347148,1.1,6,2.528832997e-05,2.528832997e-05,0
23.22054947,0.7999945647,1.1,6,2.154914864e-05,2.154914864e-05,0
22.28902231,0.8657837576,1.1,6,1.865978735e-05,1.865978735e-05,0
45,0.1081376715,1.1,6,0.0001352640265,0.0001352640265,0
39.47021958,0.1890823578,1.1,6,0.0001009726152,0.0001009726152,0
35.20671917,0.2813536876,1.1,6,7.620879684e-05,7.620879684e-05,0
31.92071012,0.3775902856,1.1,6,5.85786753e-05,5.85786753e-05,0
29.36190667,0.4724335248,1.1,6,4.602739141e-05,4.602739141e-05,0
27.33678813,0.5628268315,1.1,6,3.699047085e-05,3.699047085e-05,0
25.70483793,0.647383598,1.1,6,3.03691748e-05,3.03691748e-05,0
24.36688792,0.7256774927,1.1,6,2.542233026e-05,2.542233026e-05,0
23.25377376,0.7977264739,1.1,6,2.165703955e-05,2.165703955e-05,0
22.31811096,0.863636744,1.1,6,1.874695274e-05,1.874695274e-05,0
45,0.1081360507,1.1,6,0.0001352644101,0.0001352644101,0
39.51489041,0.188269423,1.1,6,0.0001012417193,0.0001012417193,0
35.26577627,0.2798408862,1.1,6,7.653955817e-05,7.653955817e-05,0
31.98042497,0.3755956068,1.1,6,5.888582298e-05,5.888582298e-05,0
29.41704547,0.4701655337,1.1,6,4.628595664e-05,4.628595664e-05,0
27.38594098,0.5604404377,1.1,6,3.720011487e-05,3.720011487e-05,0
25.74810589,0.6449806649,1.1,6,3.053721598e-05,3.053721598e-05,0
24.40485844,0.7233215839,1.1,6,2.555705231e-05,2.555705231e-05,0
23.28709405,0.7954582305,1.1,6,2.17655359e-05,2.17655359e-05,0
22.34729453,0.8614880853,1.1,6,1.883463168e-05,1.883463168e-05,0
45,0.1081344259,1.1,6,0.0001352647947,0.0001352647947,0
39.559202,0.1874659217,1.1,6,0.0001015088179,0.0001015088179,0
35.32460804,0.2783410481,1.1,6,7.686946828e-05,7.686946828e-05,0
32.04007813,0.3736126687,1.1,6,5.919321845e-05,5.919321845e-05,0
29.4722222,0.4679062403,1.1,6,4.654529057e-05,4.654529057e-05,0
27.4351776,0.5580596833,1.1,6,3.741065387e-05,3.741065387e-05,0
25.79147286,0.6425809099,1.1,6,3.070609679e-05,3.070609679e-05,0
24.44292892,0.7209670008,1.1,6,2.56924997e-05,2.56924997e-05,0
23.32051063,0.7931898477,1.1,6,2.187464106e-05,2.187464106e-05,0
22.37657308,0.8593378124,1.1,6,1.892282654e-05,1.892282654e-05,0
45,0.1081327971,1.1,6,0.0001352651802,0.0001352651802,0
39.6031572,0.1866717217,1.1,6,0.0001017739239,0.0001017739239,0
35.38321378,0.2768540736,1.1,6,7.719851637e-05,7.719851637e-05,0
32.09966806,0.3716414432,1.1,6,5.950084923e-05,5.950084923e-05,0
29.5274359,0.465655657,1.1,6,4.680538744e-05,4.680538744e-05,0
27.4844977,0.5556845907,1.1,6,3.762208769e-05,3.762208769e-05,0
25.83493895,0.6401843516,1.1,6,3.087581988e-05,3.087581988e-05,0
24.48109967,0.7186137565,1.1,6,2.582867598e-05,2.582867598e-05,0
23.35402383,0.7909213386,1.1,6,2.198435838e-05,2.198435838e-05,0
22.40594667,0.8571859557,1.1,6,1.901153974e-05,1.901153974e-05,0
45,0.1081311643,1.1,6,0.0001352655667,0.0001352655667,0
39.64675886,0.1858866928,1.1,6,0.0001020370502,0.0001020370502,0
35.44159281,0.2753798635,1.1,6,7.752669175e-05,7.752669175e-05,0
32.15919323,0.3696819021,1.1,6,5.980870276e-05,5.980870276e-05,0
29.58268554,0.4634137963,1.1,6,4.706624134e-05,4.706624134e-05,0
27.53390092,0.553315183,1.1,6,3.783441606e-05,3.783441606e-05,0
25.87850428,0.6377910094,1.1,6,3.104638788e-05,3.104638788e-05,0
24.51937098,0.7162618647,1.1,6,2.59655847e-05,2.59655847e-05,0
23.38763394,0.7886527167,1.1,6,2.209469123e-05,2.209469123e-05,0
22.4354154,0.8550325444,1.1,6,1.910077372e-05,1.910077372e-05,0
45,0.1081295275,1.1,6,0.0001352659541,0.0001352659541,0
39.6900098,0.185110707,1.1,6,0.0001022982096,0.0001022982096,0
35.49974446,0.2739183194,1.1,6,7.785398391e-05,7.785398391e-05,0
32.21865208,0.367734017,1.1,6,6.011676642e-05,6.011676642e-05,0
29.6379701,0.4611806711,1.1,6,4.73278462e-05,4.73278462e-05,0
27.58338691,0.5509514837,1.1,6,3.804763858e-05,3.804763858e-05,0
25.92216891,0.6354009034,1.1,6,3.121780333e-05,3.121780333e-05,0
24.55774316,0.7139113397,1.1,6,2.610322937e-05,2.610322937e-05,0
23.42134127,0.7863839956,1.1,6,2.2205643e-05,2.2205643e-05,0
22.46497935,0.8528776073,1.1,6,1.919053097e-05,1.919053097e-05,0
45,0.1081278867,1.1,6,0.0001352663425,0.0001352663425,0
39.73291281,0.1843436385,1.1,6,0.0001025574149,0.0001025574149,0
35.55766809,0.2724693433,1.1,6,7.818038247e-05,7.818038247e-05,0
32.27804306,0.3657977596,1.1,6,6.042502753e-05,6.042502753e-05,0
29.69328852,0.4589562943,1.1,6,4.759019583e-05,4.759019583e-05,0
27.6329553,0.548593517,1.1,6,3.826175473e-05,3.826175473e-05,0
25.96593293,0.6330140544,1.1,6,3.139006871e-05,3.139006871e-05,0
24.59621648,0.7115621965,1.1,6,2.624161348e-05,2.624161348e-05,0
23.45514614,0.7841151893,1.1,6,2.231721706e-05,2.231721706e-05,0
22.49463863,0.8507211723,1.1,6,1.928081402e-05,1.928081402e-05,0
45,0.108126242,1.1,6,0.0001352667318,0.0001352667318,0
39.77547067,0.1835853638,1.1,6,0.0001028146788,0.0001028146788,0
35.61536305,0.2710328377,1.1,6,7.850587723e-05,7.850587723e-05,0
32.3373646,0.3638731011,1.1,6,6.073347334e-05,6.073347334e-05,0
29.74863975,0.456740679,1.1,6,4.785328385e-05,4.785328385e-05,0
27.68260568,0.5462413075,1.1,6,3.847676389e-05,3.847676389e-05,0
26.0097964,0.630630484,1.1,6,3.156318645e-05,3.156318645e-05,0
24.63479123,0.7092144505,1.1,6,2.638074051e-05,2.638074051e-05,0
23.48904883,0.7818463122,1.1,6,2.24294168e-05,2.24294168e-05,0
22.52439335,0.8485632666,1.1,6,1.937162542e-05,1.937162542e-05,0
45,0.1081245932,1.1,6,0.0001352671221,0.0001352671221,0
39.81768614,0.182835761,1.1,6,0.0001030700141,0.0001030700141,0
35.67282872,0.2696087057,1.1,6,7.883045811e-05,7.883045811e-05,0
32.39661513,0.3619600126,1.1,6,6.104209105e-05,6.104209105e-05,0
29.80402268,0.4545338384,1.1,6,4.811710376e-05,4.811710376e-05,0
27.73233764,0.5438948804,1.1,6,3.86926653e-05,3.86926653e-05,0
26.05375936,0.6282502143,1.1,6,3.173715889e-05,3.173715889e-05,0
24.67346767,0.706868118,1.1,6,2.65206139e-05,2.65206139e-05,0
23.52304966,0.7795773788,1.1,6,2.25422456e-05,2.25422456e-05,0
22.55424363,0.8464039172,1.1,6,1.946296776e-05,1.946296776e-05,0
45,0.1081229404,1.1,6,0.0001352675133,0.0001352675133,0
39.85956193,0.1820947108,1.1,6,0.0001033234334,0.0001033234334,0
35.73006451,0.268196851,1.1,6,7.91541152e-05,7.91541152e-05,0
32.45579309,0.3600584652,1.1,6,6.135086779e-05,6.135086779e-05,0
29.85943622,0.4523357859,1.1,6,4.83816489e-05,4.83816489e-05,0
27.78215074,0.5415542613,1.1,6,3.890945811e-05,3.890945811e-05,0
26.09782184,0.6258732681,1.1,6,3.191198833e-05,3.191198833e-05,0
24.71224607,0.7045232157,1.1,6,2.666123707e-05,2.666123707e-05,0
23.55714892,0.7773084039,1.1,6,2.265570686e-05,2.265570686e-05,0
22.5841896,0.8442431502,1.1,6,1.955484367e-05,1.955484367e-05,0
45,0.1081212836,1.1,6,0.0001352679054,0.0001352679054,0
39.90110078,0.1813620954,1.1,6,0.0001035749493,0.0001035749493,0
35.78706982,0.2667971779,1.1,6,7.947683875e-05,7.947683875e-05,0
32.5148969,0.3581684296,1.1,6,6.165979066e-05,6.165979066e-05,0
29.91487922,0.4501465346,1.1,6,4.86469125e-05,4.86469125e-05,0
27.83204453,0.5392194764,1.1,6,3.912714131e-05,3.912714131e-05,0
26.14198385,0.6234996688,1.1,6,3.208767699e-05,3.208767699e-05,0
24.75112667,0.7021797608,1.1,6,2.680261341e-05,2.680261341e-05,0
23.59134691,0.7750394028,1.1,6,2.276980396e-05,2.276980396e-05,0
22.61423141,0.8420809914,1.1,6,1.964725579e-05,1.964725579e-05,0
45,0.1081196228,1.1,6,0.0001352682985,0.0001352682985,0
39.94230535,0.1806377993,1.1,6,0.0001038245746,0.0001038245746,0
35.8438441,0.265409591,1.1,6,7.979861916e-05,7.979861916e-05,0
32.57392496,0.3562898763,1.1,6,6.196884671e-05,6.196884671e-05,0
29.97035056,0.4479660981,1.1,6,4.891288759e-05,4.891288759e-05,0
27.88201853,0.5368905522,1.1,6,3.93457138e-05,3.93457138e-05,0
26.18624541,0.6211294405,1.1,6,3.226422701e-05,3.226422701e-05,0
24.79010972,0.6998377712,1.1,6,2.694474629e-05,2.694474629e-05,0
23.62564392,0.7727703909,1.1,6,2.288454031e-05,2.288454031e-05,0
22.64436919,0.8399174661,1.1,6,1.974020681e-05,1.974020681e-05,0
45,0.108117958,1.1,6,0.0001352686926,0.0001352686926,0
39.98317833,0.1799217087,1.1,6,0.0001040723217,0.0001040723217,0
35.90038678,0.2640339956,1.1,6,8.011944699e-05,8.011944699e-05,0
32.63287571,0.3544227756,1.1,6,6.227802293e-05,6.227802293e-05,0
30.02584905,0.4457944896,1.1,6,4.917956711e-05,4.917956711e-05,0
27.93207226,0.5345675156,1.1,6,3.956517435e-05,3.956517435e-05,0
26.23060649,0.6187626079,1.1,6,3.244164049e-05,3.244164049e-05,0
24.82919545,0.6974972654,1.1,6,2.708763906e-05,2.708763906e-05,0
23.66004025,0.7705013839,1.1,6,2.29999193e-05,2.29999193e-05,0
22.6746031,0.837752599,1.1,6,1.983369944e-05,1.983369944e-05,0
45,0.1081162892,1.1,6,0.0001352690876,0.0001352690876,0
40.02372236,0.1792137118,1.1,6,0.0001043182031,0.0001043182031,0
35.95669733,0.2626702976,1.1,6,8.043931295e-05,8.043931295e-05,0
32.69174756,0.3525670976,1.1,6,6.25873063e-05,6.25873063e-05,0
30.08137352,0.4436317227,1.1,6,4.944694382e-05,4.944694382e-05,0
27.98220519,0.5322503941,1.1,6,3.978552162e-05,3.978552162e-05,0
26.27506708,0.6163991963,1.1,6,3.261991943e-05,3.261991943e-05,0
24.8683841,0.6951582624,1.1,6,2.723129503e-05,2.723129503e-05,0
23.69453618,0.7682323981,1.1,6,2.311594433e-05,2.311594433e-05,0
22.7049333,0.8355864148,1.1,6,1.992773642e-05,1.992773642e-05,0
45,0.1081146164,1.1,6,0.0001352694836,0.0001352694836,0
40.06394007,0.1785136985,1.1,6,0.0001045622313,0.0001045622313,0
36.01277525,0.2613184033,1.1,6,8.075820793e-05,8.075820793e-05,0
32.7505389,0.3507228122,1.1,6,6.289668374e-05,6.289668374e-05,0
30.13692277,0.4414778105,1.1,6,4.971501037e-05,4.971501037e-05,0
28.03241679,0.5299392154,1.1,6,4.000675413e-05,4.000675413e-05,0
26.31962713,0.6140392315,1.1,6,3.279906579e-05,3.279906579e-05,0
24.90767588,0.6928207817,1.1,6,2.737571749e-05,2.737571749e-05,0
23.72913201,0.7659634497,1.1,6,2.323261879e-05,2.323261879e-05,0
22.73535994,0.8334189375,1.1,6,2.00223205e-05,2.00223205e-05,0
45,0.1081129396,1.1,6,0.0001352698805,0.0001352698805,0
40.10383406,0.1778215607,1.1,6,0.0001048044188,0.0001048044188,0
36.06862002,0.2599782196,1.1,6,8.107612297e-05,8.107612297e-05,0
32.80924817,0.3488898887,1.1,6,6.320614216e-05,6.320614216e-05,0
30.19249558,0.4393327666,1.1,6,4.998375926e-05,4.998375926e-05,0
28.08270652,0.5276340075,1.1,6,4.022887028e-05,4.022887028e-05,0
26.36428659,0.6116827398,1.1,6,3.297908144e-05,3.297908144e-05,0
24.947071,0.6904848436,1.1,6,2.752090969e-05,2.752090969e-05,0
23.76382801,0.7636945556,1.1,6,2.334994607e-05,2.334994607e-05,0
22.76588321,0.831250191,1.1,6,2.011745447e-05,2.011745447e-05,0
45,0.1081112588,1.1,6,0.0001352702783,0.0001352702783,0
40.14340691,0.177137192,1.1,6,0.0001050447778,0.0001050447778,0
36.12423118,0.2586496538,1.1,6,8.139304925e-05,8.139304925e-05,0
32.86787376,0.3470682966,1.1,6,6.351566842e-05,6.351566842e-05,0
30.24809073,0.4371966041,1.1,6,5.025318285e-05,5.025318285e-05,0
28.1330738,0.5253347989,1.1,6,4.045186837e-05,4.045186837e-05,0
26.40904539,0.6093297483,1.1,6,3.315996817e-05,3.315996817e-05,0
24.98656966,0.6881504686,1.1,6,2.766687485e-05,2.766687485e-05,0
23.79862447,0.7614257327,1.1,6,2.346792958e-05,2.346792958e-05,0
22.79650328,0.8290801989,1.1,6,2.021314115e-05,2.021314115e-05,0
45,0.108109574,1.1,6,0.0001352706771,0.0001352706771,0
40.1826612,0.1764604875,1.1,6,0.0001052833208,0.0001052833208,0
36.17960825,0.2573326138,1.1,6,8.170897815e-05,8.170897815e-05,0
32.92641409,0.3452580048,1.1,6,6.382524936e-05,6.382524936e-05,0
30.30370695,0.4350693361,1.1,6,5.052327337e-05,5.052327337e-05,0
28.18351805,0.5230416183,1.1,6,4.067574655e-05,4.067574655e-05,0
26.45390344,0.6069802845,1.1,6,3.334172771e-05,3.334172771e-05,0
25.02617206,0.6858176779,1.1,6,2.781361618e-05,2.781361618e-05,0
23.83352166,0.7591569985,1.1,6,2.35865727e-05,2.35865727e-05,0
22.82722032,0.8269089843,1.1,6,2.030938336e-05,2.030938336e-05,0
45,0.1081078851,1.1,6,0.0001352710769,0.0001352710769,0
40.22159947,0.1757913444,1.1,6,0.00010552006,0.00010552006,0
36.23475079,0.2560270081,1.1,6,8.202390117e-05,8.202390117e-05,0
32.98486756,0.343458982,1.1,6,6.413487182e-05,6.413487182e-05,0
30.35934298,0.4329509757,1.1,6,5.079402291e-05,5.079402291e-05,0
28.23403867,0.5207544949,1.1,6,4.090050286e-05,4.090050286e-05,0
26.49886066,0.6046343764,1.1,6,3.352436172e-05,3.352436172e-05,0
25.06587838,0.6834864932,1.1,6,2.796113684e-05,2.796113684e-05,0
23.86851986,0.7568883707,1.1,6,2.370587882e-05,2.370587882e-05,0
22.85803452,0.8247365705,1.1,6,2.040618396e-05,2.040618396e-05,0
45,0.1081061923,1.1,6,0.0001352714776,0.0001352714776,0
40.26022424,0.1751296612,1.1,6,0.0001057550076,0.0001057550076,0
36.28965837,0.2547327457,1.1,6,8.233781001e-05,8.233781001e-05,0
33.04323259,0.3416711965,1.1,6,6.44445226e-05,6.44445226e-05,0
30.41499754,0.4308415358,1.1,6,5.106542344e-05,5.106542344e-05,0
28.28463502,0.5184734579,1.1,6,4.112613521e-05,4.112613521e-05,0
26.54391692,0.6022920524,1.1,6,3.370787178e-05,3.370787178e-05,0
25.10568879,0.6811569368,1.1,6,2.810943997e-05,2.810943997e-05,0
23.90361934,0.7546198674,1.1,6,2.382585134e-05,2.382585134e-05,0
22.88894607,0.8225629802,1.1,6,2.050354584e-05,2.050354584e-05,0
45,0.1081044954,1.1,6,0.0001352718792,0.0001352718792,0
40.29853801,0.1744753383,1.1,6,0.0001059881758,0.0001059881758,0
36.34433059,0.2534497359,1.1,6,8.265069651e-05,8.265069651e-05,0
33.10150758,0.3398946166,1.1,6,6.475418849e-05,6.475418849e-05,0
30.47066933,0.4287410291,1.1,6,5.133746679e-05,5.133746679e-05,0
28.33530646,0.5161985369,1.1,6,4.135264139e-05,4.135264139e-05,0
26.58907211,0.5999533417,1.1,6,3.389225938e-05,3.389225938e-05,0
25.14560347,0.6788290315,1.1,6,2.825852866e-05,2.825852866e-05,0
23.93882037,0.7523515068,1.1,6,2.394649363e-05,2.394649363e-05,0
22.91995517,0.8203882362,1.1,6,2.060147187e-05,2.060147187e-05,0
45,0.1081027946,1.1,6,0.0001352722818,0.0001352722818,0
40.33654328,0.1738282776,1.1,6,0.0001062195767,0.0001062195767,0
36.39876706,0.2521778888,1.1,6,8.296255269e-05,8.296255269e-05,0
33.15969095,0.3381292101,1.1,6,6.506385629e-05,6.506385629e-05,0
30.52635704,0.4266494684,1.1,6,5.161014467e-05,5.161014467e-05,0
